sec_number,property_state,property_type,valuation_date,security_value,contract_of_sale_date,security_type,security_status,account_number,security_rank,region,is_primary
01592970387e4c966e03815c5cc6c707,Ohio,Flat,2001-08-05,563957,2001-12-03,Mortgage,Valid,9783d4e511761d945f90f290f90f0331,1,Southern Ohio,true
eb2e842e1da0590c847d7478a8b1a6e6,Ohio,Flat,2011-11-01,563890,,Mortgage,Valid,b8bb21a354667733c9ec06c98ee6727b,1,Southern Ohio,true
b183eca4968363be066041a6423b8a37,Ohio,Flat,2018-04-19,981131,,Mortgage,Valid,56f5a921516b8e9b2852ade2f1b3ae46,1,Southern Ohio,true
83e915cd6f0266a356eff0da49874fa0,Ohio,Flat,2016-09-12,126724,,Mortgage,Valid,961757962f1d9042f754537a7a9f360a,1,Southern Ohio,true
46d1830a2438731642f0137f7b414918,Ohio,Flat,2016-01-12,227492,,Mortgage,Valid,9cbbc38be172f4b46f559ef2ebc0a47d,1,Southern Ohio,true
03030e011fecd9595f6387212ed9ed52,Ohio,Detached,1994-06-02,563589,,Mortgage,Valid,0294b5430da7f5b12b3bae0cd055acb7,1,Southern Ohio,true
b35314879dc6a49d650ae73abfbb84de,Ohio,Flat,2020-09-20,128558,,Mortgage,Valid,8667fb82228efa84c9fcaaa75d0b717a,1,Southern Ohio,true
df1a3784434e9c6119916b0f24d84ad0,Ohio,Flat,,988595,,Mortgage,Valid,5e0b033eab68c6cd1131f11b29055359,1,Southern Ohio,true
9a505328006fb26242b0a9c0ea803157,Ohio,Flat,2010-07-25,227180,,Mortgage,Valid,d3304fb280fe59d903c042cc43b0bc49,1,Southern Ohio,true
d48089c8b48979fa979475a6e41060d7,Ohio,Commercial property,2014-02-22,126212,,Mortgage,Valid,7ae57da0dc2fb370620d95bd1788ed21,1,Southern Ohio,true
b9656b37cbd03b515073d51da1250ade,Ohio,Commercial property,2014-09-15,120418,2015-07-12,Mortgage,Valid,eb16a2e24df88461debc35934c8b3cd2,1,Southern Ohio,true
2ee5ff993a8ddb2c000cd934220dab1d,Ohio,Flat,,980565,2017-01-30,Mortgage,Valid,b4f1091c34f295d2a3f26eb0251fa79b,1,Southern Ohio,true
497f6e35fca31139180518f33ca875a9,Ohio,Flat,2015-06-06,129998,,Pledge,Valid,14f2e6cb7e7283d37bb5b302b09ba013,1,Southern Ohio,true
06c22edcb055c4935345e5d208202afc,Texas,Flat,2020-04-14,560415,,Mortgage,Valid,9797a9138a021124dd579e705fee34f0,1,Northern Texas,true
ed5b3fa4267d776e80de469cf1f69448,Texas,Flat,2017-04-16,227873,,Mortgage,Valid,9025db3412a8e4f75e93b3891dc8cc1c,1,Northern Texas,true
4449cd3827e1588a188f41198b2dfcfa,Texas,Flat,2008-11-01,225741,2009-01-07,Mortgage,Valid,b0a24945b17406e031a21271142527b7,1,Northern Texas,true
dd2cb358ecddf6597469e717d8dd8405,Texas,Flat,2018-09-06,227609,2017-12-30,Mortgage,Valid,6afce1834d8c7ec3e0032d74bb4edd45,1,Northern Texas,true
37d3e37958db76e433ac935e2872b4b6,Texas,Flat,2017-07-28,983715,,Mortgage,Valid,d601c465116437bb31cfa606e303ce40,1,Northern Texas,true
053c0513c6fc5b71f1e75d5ecc69ceef,Texas,Flat,,982051,,Mortgage,Valid,051707a91b305cb6534132b29778b3e4,1,Northern Texas,true
a3b1cc21819448b20c5e842aee842fd8,Texas,Flat,2017-09-03,229814,,Mortgage,Valid,6d26a1143abd6130fb9f0039a9f0732d,1,Northern Texas,true
ccc42d10726c4b9e118c453b4bd19bf7,Texas,Detached house,2011-11-24,560973,,Mortgage,Valid,2e289680de01164d48331851cff743a0,1,Southern Texas,true
ac822988ec62b274ecba93ea22b82511,Texas,Flat,2020-03-24,124137,,Mortgage,Valid,6bfe68fe53bb680a8c1e19372087b78d,1,Southern Texas,true
69842973093ba673322fecaba4f9c0ce,Texas,Detached,,986983,,Mortgage,Valid,839392850d6669fa66dd2c86e77dfc6c,1,Southern Texas,true
32044a0bbb0f2b267beda47a9aee5782,Texas,Flat,,221686,2015-11-28,Mortgage,Valid,00511e384a36c88bbaa41a23aff7bea9,1,Southern Texas,true
d0e722fa4b7bfb5854c242cd71a1df72,Texas,Flat,2020-10-02,126087,,Mortgage,Valid,798ee235c8aaa8c5a0c5d64f6e6b80a1,1,Southern Texas,true
6bb2c2052a1d3d51c9f3abbd63548ab9,Texas,Detached house,2018-12-28,229668,,Mortgage,Valid,5e095729baecab62118c9bcd2a753f9e,1,Southern Texas,true
ab157fd3610620cb344fe6b4e60f623a,Texas,Flat,2018-08-01,124434,2018-10-19,Mortgage,Valid,686579e1b9fbe0f7612627b246a6ea24,1,Southern Texas,true
e285d0af1d28c172facb56c6623aa1af,Texas,Flat,2019-07-06,980101,,Mortgage,Valid,695cc41060e6116d7a733df6c9350525,1,Southern Texas,true
2d48d6feeabd3f3a8c093589f008bbdf,Texas,Flat,2016-03-25,222629,2015-07-09,Mortgage,Valid,c79cb6f41f5aeab102be788752162cc2,1,Southern Texas,true
f0953c0441466a9e37a13f350eaeceef,Texas,Detached,,121637,,Mortgage,Valid,c499fd07261469ef530ef92957cd8f5e,1,Southern Texas,true
3b8399160b1f4fe57f039b14ea879291,Texas,Flat,,121774,2017-09-11,Mortgage,Valid,b3260278b680012a066dbaad70f163ce,1,Southern Texas,true
1ec268e4db653cd9ee9ad9f25467fe53,Texas,Flat,2017-04-02,562783,,Mortgage,Valid,d5731dc6fa32ed1332ff11a85827da49,1,Southern Texas,true
4dd8686b8521a0556b60b9f905f83b78,Texas,Flat,2021-09-04,226502,2022-05-06,Mortgage,Valid,ce31a8f10edf9c39d82e0e5b18d7c0b7,1,Southern Texas,true
b4e03c5d83e52d935283531a39d55d51,Texas,Flat,2019-10-26,129239,2019-06-04,Mortgage,Valid,4f473beb3cb524cf8af2ec6ce65fb4c8,1,Southern Texas,true
404cee6c21843e8d958e66edb84d647b,Texas,Flat,,563163,2015-11-25,Mortgage,Valid,6f576182eaeceb98dc83356e88a78399,1,Southern Texas,true
4960615b4209a8b3100f5627715da1b0,Texas,Flat,2017-09-07,128950,,Mortgage,Valid,2e929bc60004858f47cd04ce0e642866,1,Southern Texas,true
f09fac65a660078080270081c331321b,Texas,Flat,2016-03-28,981519,,Mortgage,Valid,728c5b2e6f2ef9291ad358ee9075821c,1,Southern Texas,true
acd338e35fe651c1a11a400651399e25,Texas,Flat,,226216,,Mortgage,Valid,7c5b579e0b6055334760ab6943405384,1,Southern Texas,true
bf7507ded7dd5817cc1ae97af5cdb058,Texas,Flat,2016-06-15,226376,2008-09-07,Mortgage,Valid,224407a40402e39a0cf3a223f5b9e04f,1,Southern Texas,true
bada31020ac866d0f642ec1697d47ba9,Texas,Flat,2019-08-22,562299,,Mortgage,Valid,6e34ce9f17aafe19f342d24af9a67abf,1,Southern Texas,true
d0ee7e22ab85fa377fd7f9e4b0676fd1,Texas,Flat,2018-08-09,569422,,Mortgage,Valid,8eec093a91e3877770fcb04f7a81a155,1,Southern Texas,true
2daee6f019abd6447b07c2ede8ad4c08,Texas,Commercial property,2017-01-04,982343,,Mortgage,Valid,f8551859fe9a34bac790e0cb84e61462,1,Southern Texas,true
97d77bb271b6faf404c08f2b31754bde,Texas,Flat,2017-02-26,228033,,Mortgage,Valid,ebb756a2bd823376f68030b16a1925e3,1,Southern Texas,true
032e8524da909e46665c0ab7facea6a9,Texas,Flat,2014-12-19,981765,2015-10-02,Mortgage,Valid,728ae83d93fa21ff99e223bed65b560d,1,Southern Texas,true
13cf875abad80d83143834aec79ce586,Texas,Flat,2015-11-27,987410,2015-05-18,Mortgage,Valid,ee1d46c40acd91190839ae8522bfb455,1,Southern Texas,true
7da980327f8b123ae7170cee56283e05,Texas,Flat,2004-09-16,980511,,Mortgage,Valid,99047bac79de454693214ae9197e780f,1,Southern Texas,true
518f563a0376a7815506570bc39d3833,Texas,Flat,2017-09-11,985167,2017-07-30,Mortgage,Valid,8c4ccd4ff09ac013769d880f3a45c375,1,Southern Texas,true
0acbd237cdfdb54a2307a4b01a33c519,Texas,Flat,2016-05-13,980560,2016-05-10,Mortgage,Valid,5b99b15ad379d87361566662995f7077,1,Southern Texas,true
db7c7aebc0b013a484eb972c138065f0,Texas,Flat,,567772,2017-01-13,Mortgage,Valid,6cd8f185228154cfeb5b619dbc9016ff,1,Southern Texas,true
be55888aa92cfe08789c339652bc304f,Texas,Flat,2015-08-14,981036,2016-06-19,Mortgage,Valid,586c958a80e3c3b2af1ebfdd8978d233,1,Southern Texas,true
c931f76ad8a5a8f38f8308dec00a95ef,Texas,Flat,2014-12-03,987347,2014-10-21,Mortgage,Valid,5b2282d93c1b768ba838cc60f359f451,1,Southern Texas,true
82c0bad19b103c18a903d532057ca7c9,Texas,Flat,2004-11-20,227946,,Mortgage,Valid,591909b76e01120f588396a3da60b463,1,Southern Texas,true
a930fe1be39024342cc4fdf6f8a32b69,Texas,Flat,2014-06-08,227141,,Mortgage,Valid,bca2f0dff85e53741c5a68a793ee05e5,1,Southern Texas,true
11bbaab687fe192fbeee58303059ea47,Texas,Flat,2013-12-20,566047,,Mortgage,Valid,5f8a36e7cc250e372062e9a2a6cee352,1,Southern Texas,true
3c0d037acb07b51a9e9033735c9ef54f,Texas,Link semi detached house,,563276,2021-10-13,Mortgage,Valid,8a5319c4f0199a117b08dda352d877d9,1,Southern Texas,true
3fe6c006ed7fbaa47d787b6eb3d80e50,Texas,Flat,2011-02-01,569047,2008-07-10,Mortgage,Valid,7d0b93734aca8731bb75681252572eba,1,Southern Texas,true
e310f77a10a112abbf3ad2dde53cb7f3,Texas,Commercial property,2021-11-09,224448,,Mortgage,Valid,1fe414468e6273717ed6601b38318723,1,Southern Texas,true
cb27fdee349ed42b8afde8b92ff7c47e,Texas,Flat,2018-07-20,563680,,Mortgage,Valid,24e3026ce253576209ceeae3c7b79c2c,1,Southern Texas,true
0dcb7cf90b14645c5d4717c198594c85,Texas,Flat,2018-10-05,984917,,Mortgage,Valid,b20b72111e3c76c7334a1908fbaa34a0,1,Southern Texas,true
5b58f11f35175281bb761853d1e129a5,Texas,Flat,2017-08-25,982349,,Mortgage,Valid,59d86fe82d935f559ea3a88e2069659c,1,Southern Texas,true
8cffe73a1d5a888e060621f746edbb21,Texas,Flat,2009-06-13,126201,2009-05-28,Mortgage,Valid,0a123914a60efe7ddbc1ef0e0197721e,1,Southern Texas,true
5a2352a136f93a0b69b21c36f5233e1a,Texas,Flat,2018-07-06,121287,,Mortgage,Valid,4f03fd756a8e4955fc4d85903f65a31f,1,Southern Texas,true
0e3ce87966f6b23766ea5aed25daf6d5,Texas,Flat,2014-06-30,562052,,Pledge,Valid,c3fc2fb27b51e7f3d94c380cde39416c,1,Southern Texas,true
5470e30d1d3b7701b1551a0f0f5398f3,Texas,Flat,2017-07-19,120410,,Mortgage,Valid,075e16d5d871f47c529e09a5fcf27499,1,Southern Texas,true
4eadb60c58c4a5e2bd113d8d65cf567a,Texas,Flat,,560699,2016-04-11,Mortgage,Valid,aff291de3bea58fc2d61eac7baffa336,1,Southern Texas,true
105ff366955c0af2183077c32c879c07,Texas,Flat,2009-07-16,567109,,Pledge,Valid,fa26f0598008ad571f3976d6e144d60b,1,Southern Texas,true
1cabb7a5027dbdf4b392bb96229bfce8,Texas,Flat,2016-01-09,129813,2015-05-14,Mortgage,Valid,6199c2b6d8cf3e2143fdb29c9d07232b,1,Southern Texas,true
bd1f87e776b4642ea844845a30579b00,Texas,Flat,2015-12-29,228017,,Mortgage,Valid,14d161fdbe7cb995c7c8d4d394c1aaee,1,Southern Texas,true
d4236ffe9570f59a92762528a1f7c6a0,Texas,Flat,2019-03-03,223798,2018-09-09,Mortgage,Valid,f476fad25a2865448afce6405da1f77b,1,Southern Texas,true
25cd2067592d7a609edb14d127170257,Texas,Flat,2017-08-18,127724,,Mortgage,Valid,f11cb4bd7e51d1f438fd5f8ed4758f60,1,Southern Texas,true
e76c1bec0e2b5608cc8004adb9a69203,Texas,Detached house,2017-03-29,225035,,Mortgage,Valid,4a8ddff62e918cb42e73694c9e07ec0b,1,Southern Texas,true
8692bd1e076eb9b9b6560fff5b3585fa,Texas,Flat,2016-11-20,569166,,Mortgage,Valid,925eccf356776b1f65b4764a4074c616,1,Southern Texas,true
60ac7c34ec1f6aa36000c1b295b45b7e,Texas,Flat,2006-01-24,988958,,Mortgage,Valid,435183ea1724a848ef57f2bdcf4a28c6,1,Southern Texas,true
3e569e3bb69700315349f90d43db2883,Texas,Flat,2016-12-21,220273,,Mortgage,Valid,15374aace9e5b939147f5f9575f365b5,1,Southern Texas,true
e6661d2a0b6004830184f82a9368ed8d,Texas,Flat,2015-12-03,988141,2015-08-02,Mortgage,Valid,80f958c5869420f72e2660ad2f93fe7d,1,Southern Texas,true
45579c8d4589605a2f052d9ada2db14d,Texas,Flat,2008-11-21,983656,,Mortgage,Valid,2796bfa4a6614ff8fedd768ed0bc7118,1,Southern Texas,true
26277fff69d88781c0def10f7cf77080,Texas,Flat,2016-04-18,225716,,Mortgage,Valid,0c06768094b72206be91ba48c3c40180,1,Southern Texas,true
680b21cb950ad87ee33fdb5167de8b6d,Texas,Flat,2016-07-20,564085,,Mortgage,Valid,e05a2a5e47660389767ce3e7d2d42bdc,1,Southern Texas,true
cb63d02b45cee0348de1b488b09c4eec,Texas,Flat,,989281,2013-05-04,Mortgage,Valid,e9c6f3ca4a71d11833d8232a6a3fc5f8,1,Southern Texas,true
cc7cc50282a9596e899f12ba80e6bfbc,Texas,Flat,2017-02-20,989936,2015-07-14,Mortgage,Valid,1cedc96ade329a3cf607c9ccc4fedabc,1,Southern Texas,true
782d20e256e70dd30a57e8e06d1e1db3,Texas,Flat,2013-12-10,568944,,Mortgage,Valid,40f69da0c98a30a8fe7b97739b49b08e,1,Southern Texas,true
a62420769b5e3642fd80e70bae93439c,Texas,Flat,2018-03-24,565923,,Mortgage,Valid,06cd4f253948e97b59a0940453703190,1,Southern Texas,true
1383a459744bcc0bfe161a7427cf1f7b,Texas,Flat,2016-07-11,986890,,Mortgage,Valid,5f52aec1364dc45d857c1f44606342dd,1,Southern Texas,true
f199cec32389fb83436ac720e4211b2c,Texas,Flat,2019-01-20,128138,,Mortgage,Valid,de6cfb304a89c7fc3d7df10301ff549e,1,Southern Texas,true
7d86ee0605aa714797dc18182b0a6fa5,Texas,Flat,2003-02-22,987746,,Mortgage,Valid,1142b86896ba32555f96b10a309e2dd7,1,Southern Texas,true
457a53a99a147c8cc05d7525bd643001,Texas,Commercial property,2015-09-08,986994,,Mortgage,Valid,83f946482f6797fb640f4c5e94690def,1,Southern Texas,true
924bf1540fbdbcbedcbe843e12b98fef,Texas,Coach House,2022-02-13,126735,,Mortgage,Valid,73b7819622da4e0db60a486909fbf8e0,1,Southern Texas,true
ba9e6c04b074c75115bad439117357e3,Texas,Flat,2016-05-27,128385,,Mortgage,Valid,2ea09bbd110445269f88a79a79bbea15,1,Southern Texas,true
09682505af6ec893da870c52d90cb33b,Texas,Flat,2019-03-30,568639,,Mortgage,Valid,c7873600b1049e1f3b4485f21c77540a,1,Southern Texas,true
6be3c2d23e9566e5d1b2cf2443ed27cd,Texas,Flat,,129649,2020-04-16,Mortgage,Valid,0e7066e1ee512fae750cc3112b9bee34,1,Southern Texas,true
7686d79bfdc012aa59ab1d2614272eb5,Texas,Flat,2015-09-02,569403,,Mortgage,Valid,5bd3cde8cde52142f93a2ff1f258561e,1,Southern Texas,true
efcb966cb316d155dfe516a3a3d6a586,Texas,Flat,2016-06-07,120653,,Mortgage,Valid,e213f8d874e50c617d453de02d9e0be8,1,Southern Texas,true
ec377c378c2663fb0a85951dc1ce4a5c,Texas,Flat,2018-10-19,120054,2016-08-03,Mortgage,Valid,b728cd0f66c51d37d758f902d972df11,1,Southern Texas,true
ef5131090602788b761b99a54fc0a2ff,Texas,Flat,2016-09-01,228914,,Mortgage,Valid,81b942a2a3d9f13a431d271ee3075944,1,Southern Texas,true
37a16f4b1b16cc9b64b7569249ad35d9,Texas,Flat,2011-12-01,983505,,Mortgage,Valid,0c4e713c7e61c2872d43ee924f1e7c10,1,Southern Texas,true
115fd0a71c8fcf7a8d3d0a682e4f91f4,Texas,Flat,2014-07-03,228583,,Mortgage,Valid,d07068a8d534e9e4627837bd8dbff773,1,Southern Texas,true
3a25b20d19657538f8ff8c02cb7ca59f,Texas,Flat,2020-11-18,228627,,Mortgage,Valid,3f8fe0782614abba1388ad9dfd75d731,1,Southern Texas,true
37ab4f86148d2f9b61b3b8451cfeef71,Texas,Flat,2014-07-11,989106,,Mortgage,Valid,5ff9eee78f803f97b6faed95d994c2f9,1,Southern Texas,true
67f560aff9e82c05208b5859ceed5bf4,Texas,Flat,2018-03-03,566360,2017-08-08,Mortgage,Valid,3c01e1e2aceacaf16b05c498319c37e3,1,Southern Texas,true
59eb379b81c3a174fea85c0f05134dca,Texas,Flat,2017-04-11,221241,,Mortgage,Valid,1c93178775d6f0bdf11fd0830fcfc9ec,1,Southern Texas,true
75ed2971e0917d9f6e88436c47f31382,Texas,Flat,2009-05-15,984901,,Mortgage,Valid,44a9a888ad24ad00b2b7c8e38285ffbd,1,Southern Texas,true
b333240de44f7100710849bb8c0c71cb,Texas,Flat,2020-09-10,125113,,Mortgage,Valid,29a8eed6fdccf58a83a38995a53366a1,1,Southern Texas,true
cd9f7a55d4459ac4509792e6700c9588,Texas,Flat,2017-06-03,569119,,Mortgage,Valid,c7ae4d600739277ce57293cfc8972a81,1,Southern Texas,true
47bb97764a63e4d6b720e42145a86336,Texas,Flat,2018-05-04,989248,,Mortgage,Valid,c972d03440aff5b5e8d660e0f0cbff9a,1,Southern Texas,true
cc3ad85cecf650d5a67f8324d6f4f881,Texas,Flat,2016-10-20,126196,,Mortgage,Valid,e295697b54c89ea646bb6640c2461400,1,Southern Texas,true
